Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,00:00:41,-0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:00:42,-0.01,0.02,1.01,0.00,-0.18,-0.85
2025-02-07,00:00:42,-0.02,0.02,1.00,0.18,0.00,-0.79
2025-02-07,00:00:43,-0.01,0.02,1.00,0.06,-0.06,-0.73
2025-02-07,00:00:43,-0.01,0.02,1.00,0.00,0.00,-0.79
2025-02-07,00:00:44,-0.01,0.02,1.00,0.12,0.00,-0.79
2025-02-07,00:00:44,-0.01,0.02,1.00,0.49,-0.12,-0.79
2025-02-07,00:00:45,-0.01,0.01,1.00,0.18,0.00,-0.79
2025-02-07,00:00:45,-0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:00:46,-0.02,0.02,1.00,0.12,0.18,-0.61
2025-02-07,00:00:46,-0.02,0.03,1.00,-0.31,0.00,-0.79
2025-02-07,00:00:47,-0.34,0.00,0.51,47.97,-10.25,-83.01
2025-02-07,00:00:47,-0.54,0.23,0.97,-17.27,-11.35,17.76
2025-02-07,00:00:48,-0.87,0.03,0.86,32.47,-0.31,15.63
2025-02-07,00:00:48,-0.22,0.34,0.98,-20.02,97.60,152.28
2025-02-07,00:00:49,-1.42,0.42,1.11,-27.77,45.72,165.95
2025-02-07,00:00:49,-1.95,0.50,0.80,-3.23,65.80,126.10
2025-02-07,00:00:50,-2.43,0.96,0.90,-17.70,34.79,117.37
2025-02-07,00:00:50,-3.20,1.48,0.49,4.70,17.52,9.95
2025-02-07,00:00:51,-2.14,1.28,0.41,-8.36,-3.60,-157.47
2025-02-07,00:00:51,-0.50,0.75,0.39,-29.36,13.00,-225.95
2025-02-07,00:00:52,1.88,-0.74,0.67,23.99,-34.42,-140.26
2025-02-07,00:00:52,1.89,-0.85,1.34,4.21,0.61,206.91
2025-02-07,00:00:53,1.34,-1.60,1.32,24.54,-29.17,54.87
2025-02-07,00:00:53,0.79,-1.39,1.02,57.80,-79.47,-230.71
2025-02-07,00:00:54,-1.23,0.57,0.56,-26.12,-82.46,-189.76
2025-02-07,00:00:54,0.64,0.86,0.80,-31.80,45.65,122.50
2025-02-07,00:00:55,-1.13,0.93,0.82,-10.68,-14.22,-72.63
2025-02-07,00:00:55,0.82,-0.97,1.03,31.49,27.28,31.19
2025-02-07,00:00:56,-1.22,1.30,0.20,-9.03,-10.31,-22.46
2025-02-07,00:00:56,1.32,-1.26,1.75,-25.51,48.28,-8.48
2025-02-07,00:00:57,-0.85,1.56,0.29,-39.00,-23.50,-22.16
2025-02-07,00:00:57,0.61,-0.77,1.61,26.49,-6.59,-16.54
2025-02-07,00:00:58,-1.28,1.96,-0.16,-25.70,26.79,49.38
2025-02-07,00:00:58,0.58,-1.27,2.21,9.64,3.42,-57.92
2025-02-07,00:00:59,-1.08,1.68,0.30,-34.36,22.34,34.06
2025-02-07,00:00:59,0.33,-1.24,2.28,22.22,-39.98,-123.66
2025-02-07,00:01:00,-1.29,1.83,0.16,-29.91,74.22,104.37
2025-02-07,00:01:00,-0.41,0.47,1.08,3.48,-16.54,-57.86
2025-02-07,00:01:01,-0.05,0.39,0.72,-1.40,-68.54,26.49
2025-02-07,00:01:01,-0.10,0.27,0.84,-13.73,-0.61,-9.22
2025-02-07,00:01:02,-0.03,0.02,1.00,-2.26,-0.06,-0.79
2025-02-07,00:01:02,-0.02,0.02,1.01,3.91,0.00,-0.67
2025-02-07,00:01:03,-0.00,0.01,1.01,-4.09,0.00,-0.79
2025-02-07,00:01:04,-0.01,0.02,1.00,-3.72,0.00,-0.85
2025-02-07,00:01:04,-0.01,0.03,0.99,-0.55,0.00,-0.73
2025-02-07,00:01:05,-0.02,0.03,1.00,0.98,0.00,-0.73
2025-02-07,00:01:05,-0.01,0.02,1.00,0.49,0.00,-0.79
2025-02-07,00:01:06,-0.01,0.02,1.00,0.06,-0.06,-0.73
2025-02-07,00:01:06,-0.01,0.02,1.00,-0.06,0.00,-0.79
2025-02-07,00:01:07,-0.01,0.03,1.00,0.06,0.00,-0.79
2025-02-07,00:01:07,-0.01,0.03,1.00,0.00,0.00,-0.79
2025-02-07,00:01:08,-0.01,0.03,1.00,0.06,0.00,-0.73
2025-02-07,00:01:08,-0.01,0.03,1.00,0.12,0.00,-0.73
2025-02-07,00:01:09,-0.01,0.02,1.00,0.12,0.00,-0.79
2025-02-07,00:01:09,-0.01,0.03,1.00,0.06,0.00,-0.73
